,location,hotel,text_content,label,rating
0,Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Posadas_De_Espana_Malaga,bien ultim habit toc ultim habit complet correct amabl bien equip parking propi habit confort negat reseñ quiz preci aunqu car,1,4
1,Huelva_Province_of_Huelva_Andalucia,Hotel_Sercotel_Familia_Conde,centric mejor hotel ubic 5 minut centr habit limpi aloj 3 person gel suficient parking reserv antel val 12 eur aunqu hag 24 hor,3,3
2,Jaen_Province_of_Jaen_Andalucia,Hotel_Condestable_Iranzo,bien situ aloj 2 noch habit tripl bien situ enfrent parqu poc minut centr cam comod buen insonoriz exterior hac falt reform urgenci never agu cortes parking mism hotel aunqu plaz pequeñ,3,3
3,Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Wey_s_Home_Suites,bonital bien ubic descans gener ubic excelent aunqu bien ciert entrad da buen sensacion callejon habit bonit decor eleg cam util si alto per salv desaconsej ruid pod particip convers habit diamant lad conduct air acondicion oia chic limpiez aunqu pued esforz hac ruid escuch abertur puert hotel escuch habit gent call pues si car aun cerr ventan,0,2
4,Cordoba_Province_of_Cordoba_Andalucia,Exe_Ciudad_de_Cordoba,men estrell diamant henry luc hotel mald situ si vas visit cordob cuent sum 120 pid taxis tendr cog cam bien almoh incomod baratir air acondicion sol pued encend apag ningun gestion pil lavab rot algun defectill manten television muestr blanc prim supermerc detall equip nivel verd aqui amig elig colm desayun prim hotel 2 estrell campament boll industrial yogurt garrafon chop ques barr siqu huev coc pan gomos etc compart unas ordas japones primer lueg tipic viaj subvencion ministeri confirm macr grup 80,0,2
5,Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Debambu,trat genial recepcion amabl dieron buen consej visit ciud habit grand limpi localiz perfect escas metr call lari recom total,1,5
6,Almeria_Province_of_Almeria_Andalucia,Hotel_Los_Arcos,repet dej pas fin seman hotel principi pens dos noch tras experient primer noch decid volv lleg dieron habit limpi gran descu lleg encontr agrad ped entonc habit esta limpi sencill normal tir pequeñ u necesit pequeñ restiling pintur muebl peor cam dobl pequeñ almoh parec papel fum fin final levant dolor cuell mal cambi air acondicion fri maner modific habit lueg television descubr darl interruptor,0,2
7,Cabo_de_Gata_Almeria_Province_of_Almeria_Andalucia,Casa_Rural_Campo_Feliz,fatal alquil empres cuatr parej total sol lleg cortij esper limpi habit pas 13 visoterol tard vez allioentr esperab lleg guardi civil exig propietari fich identificar huesped anterior cos pareci extrañ habl denunci anterior cas dio mich segur lueg hiz fich identific pris corr entreg moned acord iba volv tres dias volv noch 4 parej encontr dentr prim ls zon comun hombr andab anchas aun dentr minut despu aparec propietari prej,0,2
8,Cordoba_Province_of_Cordoba_Andalucia,Hotel_Los_Patios,limpiez decepcion tuerc cuant ubic geolog perfect acept tuerc cuant calid preci aspect encontr numer aspect mejor inacept stanz numer atom 13 particip habit encontr suel pegaj suci lateral cam pens deb refresc derram limpi personal hotel ademas manch tuerc pared igual limpi obvi prim humedad abri cam aparent echa encontr pelus manch pel zon intim capilar lad delawar saban almoh numer atom 13 dec alumini recepcion hotel solucion saban limpi cual pon quit suci nombr 2 30,0,2
9,Seville_Province_of_Seville_Andalucia,Mercer_Hotel_Sevilla,hotel reserv altisim nivel acertadisim reform cas palaci sevillan alto confort excelent ambient servici atent ubic man lleg centr sevill barri arenal aciert recomend,1,5
10,Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Hotel_Boutique_Anahita,demasi intrus hotel ciert encant opinion mal dirig mil delawar whatsapp prim va lleg delawar va sal si necesit entiend hac ser cordial intrus ped escrib whatsapp hag buen accion habit graci graci bañ estil vintag hotel buen direccion mal,0,1
11,Seville_Province_of_Seville_Andalucia,OYO_Venta_del_Alto_Hotel_las_Cumbres,acces aloj hotel noch restaur com bien plat buen cantid abund unic ped cuent vari vec tard tra personal bastant cordial habit ampli oli bastant tabac junt olor antigu ranci form olor colchon epoc bastant dur aunqu cuestion gust escuch tratamient complet noch par aull perr habit dispon mini never buen lug sobr veran agradec competent dispon lluvi fresc bañ grand toc jacuzzi dispon champu gel hotel piscin agradec,0,2
12,Cordoba_Province_of_Cordoba_Andalucia,Hotel_Selu,experient acogedor mes ener aloj primer habit tripl despues individual matrimoni trat famili cariñ trabaj dueñ mejor ana felix juan lol hic sent cas cam sup comod habit limpi never caj fuert secador comedor bien decor confort mes bien mont necesari desayun complet dos tarif depend desayun zum naranj natural tom pizz 4 ques buen cen cart vari parking ampli mism edifici ascensor plant,1,5
13,Seville_Province_of_Seville_Andalucia,Pension_Nuevo_Suizo,plen centr sevill pag pension situ cerquit girald general bien buen trat personal habit correct limpi pon peg cas antigu escuch asi si quier descans wifi funcion regul bañ compart podr limpi,3,3
14,Seville_Province_of_Seville_Andalucia,Hotel_Alcazar,buen coloc hotel perfect ubic buen hall acces ahi acab buen habit disturbi pequeñ casc delawar duch practic inexistent never sevill toc habit pati dab igual 10 mañan 5 apen luz asom ventan bañer sab dia hac,0,2
15,Malaga_Costa_del_Sol_Province_of_Malaga_,Apartamentos_El_Museo_Living_Experience_Club,apartament unic mund 52 años viaj medi mund jamas vist parec estanci apartament detall 5 estrell rod arte pared mobiliari experient indescript viv entend habl enhorabuen muse living experienc,1,5
16,Cordoba_Province_of_Cordoba_Andalucia,Hostal_Deanes,volv hostal bien situ pues encuentr call centric turist comercial proxim mezquit cordob ciert econom esper encontr reun min exig servici caracterist habit pequeñ tel lamp tech bañ sal cabl plan desastr saban algun pel imagin huesped anterior metod avis entrar 12 limpi habit consist atar troz papel higien mang puert leyend peor despues primer noch alli nadi preocup hac habit cambi toall reutiliz empap segund dia ultim amanec aquel hostal volv,0,2
17,Jaen_Province_of_Jaen_Andalucia,Hostal_Restaurante_EstaciON,vist estacion olor tabac alberg preci asequ edifici anex estacion ferrocarril cam comod tuerc habit oscur cortin segund guerr mundial extrañ mezcl olor tabac cañeri coment tuerc recepcion sol recib evas,0,2
18,Seville_Province_of_Seville_Andalucia,Hotel_Fernando_III,gent civism hotel 4 estrell general bien limpiez buen desayun bastant complet buen calid piscin buen vist buen atencion personal ningun quej hotel si huesped gent frances aleman ingles ningun civism educ hac graci pais manten silenci educ limpi lleg aqu tranquil hamac vien empiez arrastr sac ruid impresion habl alto beb si mañan dej basur recog molest desayun si sol hac pais hag aqui lueg van ejempl europ gent asi quer queda cas,1,4
19,Seville_Province_of_Seville_Andalucia,Pension_Dona_Trinidad,bonit pension buen atencion mes pas aloj pension mism nombr indic pension deb admir compart bañ ejempl habit ped bañ priv bañ dentr habit sin dieron llav sol entrab servici piens podr hac reform met bañ entiend construccion antigu cre buen pues men ten bañ dentr demas limpi destac atencion maj atent ciert elev asi hac ejercici,1,4
20,Seville_Province_of_Seville_Andalucia,Pension_Las_Setas,unic bien ubic sol pued valor posit posicion demas preci bastant deficient mal insonoriz peg ojo noch sol bañ demasi habit recepcion hiz jov ase tuerc fin merec lastim pag 10e dorm tranquil aunqu retir ojo,0,2
21,Seville_Province_of_Seville_Andalucia,Hotel_Casa_Imperial,decepcion descuid pared suci olor humed bañ terrorif manch oxid colchon dur sof suci zon comun mal cuid reserv habit desayun sol person atend equip comedor prepar desayun tra cos cuentagot pan fri tra bacon despues cop eram 4 person pud desayun vez hostal lustr almacen,0,1
22,Almeria_Province_of_Almeria_Andalucia,Hostal_Delfin_Verde,mal experient siti horribl hostal peor vist val pid muchisim fri pas muj dij lueg pon calefaccion mentir suci viej horribl vecin habit pas tod noch hac ruid habi reserv dos noch supuest primer mañan busc lug volv regal,0,1
23,Seville_Province_of_Seville_Andalucia,The_Corner_House,pros contr ubic alamed hercul zon dificil acces aparc si vas coch atencion person recepcion atiend bar impec destac dich restaur buen calid cocin vari desayun agrad terraz buen wifi limpi bien habit parec car calid habit 127 eur noch sol dorm tod logic ofrec habit 1 supong tod similar continu mini zon cam bañ carec intim duch persian estor pod sub carec pequeñ mes sill espaci habit pequeñ disimul hab,3,3
24,Almeria_Province_of_Almeria_Andalucia,Cabo_de_Gata_Camper_Park,lugar favor parec lug ideal pernoct tranquil bien acondicion pod descans duchart etc preci genial vam furg recom 100 ojal lugar asi tod españ,1,5
25,Huelva_Province_of_Huelva_Andalucia,Hotel_Marina,car si necesit dorm bien cam comod personal cercan amabl educ aun asi preci parec car ofert limpiez regul encontr manch suel bañ polv lamparit tel lavab limpi toall tod diferent pequeñ si oli poquit lej parec mal,3,3
26,Granada_Province_of_Granada_Andalucia,Reina_Cristina_Hotel,dej des pais pander seman hosped alli amig comunic trabaj amabl centric hotel antigu habit anticu escuch muchisim clutt pasill habit colind cuant limpiez dej control saban manch debaj cam much pelus inclus tuerc delawar habit rest olor pintur troz par descascarill pais pint almuerz dec caf maquin frut resec embut bizcoch ric pan tost aparc dej coch parking cercan subterrane estrech 17 eur dia aunqu si suert pued encontr algun siti call region azul si person,0,1
27,Almeria_Province_of_Almeria_Andalucia,La_Perla_Hotel,fotograf engañ seman pas 3 noch matrimoni dos hij 11 7 años hotel deb dej reserv habit tripl cam 1 35cm 90cm 4 person fot adjunt jueg perspect aparent cam matrimoni 2 ind coment recepcion hac reserv traves agenci on lin dic reclam pud cambi habit cuadrupl cost adicional recom nadi opte habit tripl si 4 person habit cuadrupl pued dec ruidos trafic exterior ruid habit ase pequeñ colchon almoh correct amabil personal correct cos destac,0,1
28,Cordoba_Province_of_Cordoba_Andalucia,Cordoba_Inturjoven_Youth_Hostel,terribl estanci hac años buen impresion siti barat situacion inmejor centr cordob tuerc ocasion sal decepcion met parej cuart cristal sol entrab luz puert ser baj dej echad cortin vier humed increibl olor intens habit tuerc bañ desagü olor sombr sent claustrofobi sal noch pati tom mesit repent vim rattus enorm sub baj escaler dej mal form numer atom 13 dia siguient lleg tard desayun 15minut retras parej pid recog si pod darl agu hac,0,1
29,Torredonjimeno_Province_of_Jaen_Andalucia,Hotel_Twist,si pued vuelv antigu desfas servici parec conoc tod vid concordat demaci confi dorm noch sal tempran interes peor cre unic qu exist puebl,0,1
