,location,hotel,text_content,label,rating
1059,Seville_Province_of_Seville_Andalucia,Hotel_Rural_Hacienda_Molino_la_Boticaria,"On the road Una hacienda familiare trasformata in alloggio rurale, camere semplici ma il tutto è di grande effetto. Ogni camera ha il suo bagno privato con un set di cortesia completo, wi fi gratuito. Attorno regna la tranquillità, piena campagna tra coltivazioni e cavalli. Padrona di casa gentilissima. ",1,4
1060,Seville_Province_of_Seville_Andalucia,Hotel_Rural_Hacienda_Molino_la_Boticaria,"a lovely place to stay if driving between sevilla and cordoba, or south east a fabulous old farm house with traditional rooms, it's obviously used by locals for weddings etc., they were setting up for one when we were there, but although we were only staying one night we were treated like honoured guests. Has an outdoor pool which was open unlike most of the places we stayed at in early May",1,5
1063,Seville_Province_of_Seville_Andalucia,Hotel_Rural_Hacienda_Molino_la_Boticaria,"On the road Una hacienda familiare trasformata in alloggio rurale, camere semplici ma il tutto è di grande effetto. Ogni camera ha il suo bagno privato con un set di cortesia completo, wi fi gratuito. Attorno regna la tranquillità, piena campagna tra coltivazioni e cavalli. Padrona di casa gentilissima. ",1,4
1064,Seville_Province_of_Seville_Andalucia,Hotel_Rural_Hacienda_Molino_la_Boticaria,"a lovely place to stay if driving between sevilla and cordoba, or south east a fabulous old farm house with traditional rooms, it's obviously used by locals for weddings etc., they were setting up for one when we were there, but although we were only staying one night we were treated like honoured guests. Has an outdoor pool which was open unlike most of the places we stayed at in early May",1,5
1067,Seville_Province_of_Seville_Andalucia,Hotel_Rural_Hacienda_Molino_la_Boticaria,"On the road Una hacienda familiare trasformata in alloggio rurale, camere semplici ma il tutto è di grande effetto. Ogni camera ha il suo bagno privato con un set di cortesia completo, wi fi gratuito. Attorno regna la tranquillità, piena campagna tra coltivazioni e cavalli. Padrona di casa gentilissima. ",1,4
1068,Seville_Province_of_Seville_Andalucia,Hotel_Rural_Hacienda_Molino_la_Boticaria,"a lovely place to stay if driving between sevilla and cordoba, or south east a fabulous old farm house with traditional rooms, it's obviously used by locals for weddings etc., they were setting up for one when we were there, but although we were only staying one night we were treated like honoured guests. Has an outdoor pool which was open unlike most of the places we stayed at in early May",1,5
1071,Seville_Province_of_Seville_Andalucia,Hotel_Rural_Hacienda_Molino_la_Boticaria,"On the road Una hacienda familiare trasformata in alloggio rurale, camere semplici ma il tutto è di grande effetto. Ogni camera ha il suo bagno privato con un set di cortesia completo, wi fi gratuito. Attorno regna la tranquillità, piena campagna tra coltivazioni e cavalli. Padrona di casa gentilissima. ",1,4
1072,Seville_Province_of_Seville_Andalucia,Hotel_Rural_Hacienda_Molino_la_Boticaria,"a lovely place to stay if driving between sevilla and cordoba, or south east a fabulous old farm house with traditional rooms, it's obviously used by locals for weddings etc., they were setting up for one when we were there, but although we were only staying one night we were treated like honoured guests. Has an outdoor pool which was open unlike most of the places we stayed at in early May",1,5
1163,Seville_Province_of_Seville_Andalucia,Hostal_Avenida_Andalucia_by_Bossh_Hotels,"Worst hotel stay of my life Staff not professional, doesn't know how to handle guest service. No control of noise inside rooms, wrong delivery of guest selection of rooms. Overbooked leaving guests with no room. Rooms are dirty old, smelly and they don't correspond to websites photos. Should be closed. ",0,1
1168,Seville_Province_of_Seville_Andalucia,Hostal_Avenida_Andalucia_by_Bossh_Hotels,"Worst hotel stay of my life Staff not professional, doesn't know how to handle guest service. No control of noise inside rooms, wrong delivery of guest selection of rooms. Overbooked leaving guests with no room. Rooms are dirty old, smelly and they don't correspond to websites photos. Should be closed. ",0,1
1173,Seville_Province_of_Seville_Andalucia,Hostal_Avenida_Andalucia_by_Bossh_Hotels,"Worst hotel stay of my life Staff not professional, doesn't know how to handle guest service. No control of noise inside rooms, wrong delivery of guest selection of rooms. Overbooked leaving guests with no room. Rooms are dirty old, smelly and they don't correspond to websites photos. Should be closed. ",0,1
2083,Seville_Province_of_Seville_Andalucia,Hotel_Da_Vinci,"Buen hotel/hostal con una ubicación fantástica. Buen hotel/hostal con una ubicación fantástica. La ventana y el balcón daban a la catedral. También es maravilloso que el hostal/hotel esté ubicado en el centro. Conveniente para salir por la noche y volver . Отличный хостел/отель с фантастическим месторасположением. Окно и балкон выходили на кафедральный собор. так же, замечательно, что хостел/отель располагался в центре. Удобно выходить вечером и возвращаться.",1,4
2403,Seville_Province_of_Seville_Andalucia,Hom_Sevilla,"Wonderful/Maravilloso We only stayed one night in Seville for a futbol match, but this place was so accommodating and the bed was extremely comfortable.  If we return, we want to stay here rather than the resort we were staying at in Marbesa!  Solo estuvimos una noche en Sevilla por un partido de fútbol, pero este lugar era muy acogedor y la cama era extremadamente cómoda. Si volvemos, queremos alojarnos aquí en lugar del resort en el que nos alojamos en Marbesa.",1,5
2429,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,"Perfect Hotel New hotel with good location / max. 10 minutes to the city center sights /. The room is very well furnished, well cleaned and of a good size. Breakfast is very good and rich. We had a parking space, including in the room rate  and it was very convenient because it is a problem to park in the center of Seville.  The only downside is the temperature in the breakfast room. It was too cold for me. I froze as I ate breakfast, even though I was wearing a jacket.",1,5
2430,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,"Très bien Une seule nuit dans cet hôtel tout neuf, extrêmement confortable et très agréable. Finalement à 10 mn du centre historique. Station de métro à 100 m. Buffet du petit déjeuner extra, personnel très aimable. Une belle découverte à noter. Les chambres sont spacieuses, la salle de bain est au top.",1,5
2432,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,"Great new hotel We stayed here one night as a start to our trip. Hotel is very clean with good sized room for Spain. Check in staff were very helpful. Very good selection at breakfast, the only thing I would change would be to have filter coffee as Nespresso machine takes ages. We will stay again on our next visit.",1,5
2433,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,Mooi hotel. Prijs/kwaliteit is niet in verhouding  Mooie kamer. Lekker bed. Mooie badkamer. Het hotel ligt net over de brug buiten het centrum.  Is te lopen.  Wij hadden onze fietsen bij ons en waren binnen 10 minuten in het centrum.  Slecht dat de receptionistes haast geen Engels spreken. Ik had mijn eigen fiets meegenomen en vroeg waar ik deze kon parkeren.  Eerst ging ze me uitleggen waar de gym was en daarna stelde ze voor de fiets op mijn kamer te stallen(op de 7e verdieping! ). Uiteindelijk moesten we de fietsen op straat laten staan.  Kamer na 300 euro per nacht met weinig daglicht en een raam dat uitkomt in een soort schacht.  Qua prijs onacceptabel. (Zie foto's uitzicht)  Het parkeren van het hotelnis in een algemene parkeergarage. Prijs is hetzelfde.  Het enige verschil is dat je bij een automaat moet betalen in plaats…,3,3
2435,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,"Great hotel Beautiful room , with all ameneties. We had a room with a lovely comfortable terrace wich was very nice at the end of the evening. Really comfy bed!! Breakfast was great. Staff very nice and helpfull!  · The coffeemachines at breakfast! Only to of them and they took forever. In these days with social distancing, long ques is not what you want.",1,5
2436,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,"Tolles Hotel Nahe Zentrum Wir waren von unserem Hotel wirklich angenehm überrascht.  Ein tolles Hotel, super ruhig, sauber, modern, gut in Stand gehalten, tolles Personal und du Dusche ist wunderbar nach einem langen Tag in der City.   Das Bett war hervorragend und wir haben super gut geschlafen.  Zur Kathedrale sind es genau 800m - das ist ein kleiner Weg aber gut zu machen. Die Gegend ist super sicher.",1,5
2438,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,"Excellent Séjour touristique à Séville, la découverte de cet hôtel nous a séduit totalement par la qualité de son accueil (un plus serait parler le français), son ambiance feutrée, l'aménagement des chambres (cependant il manque de quoi prendre un café, un thé), l'extrême propreté, la qualité des équipements de la salle de bains, le lit king size, le grand écran TV.  Petit déjeuner très copieux dans une salle de restauration très agréable, bruit feutré.  De plus, possibilité de stationner dans le parking en sous sol de l'hôtel. Bref de quoi passer un excellent séjour dans cet hôtel.  Nous y reviendrons avec grand plaisir!",1,5
2442,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,"Fantastic value Stayed here for 4 nights,  the room was big and very modern with a super sized bed that was made for sleeping in....comfy doesn't even come close to describing it. Room was quiet and we had a balcony to relax in at the end of the day , maid service every day , fantastic stay highly recommended ",1,5
2443,Seville_Province_of_Seville_Andalucia,Eurostars_Guadalquivir,"Excellent Séjour touristique à Séville, la découverte de cet hôtel nous a séduit totalement par la qualité de son accueil (un plus serait parler le français), son ambiance feutrée, l'aménagement des chambres (cependant il manque de quoi prendre un café, un thé), l'extrême propreté, la qualité des équipements de la salle de bains, le lit king size, le grand écran TV.  Petit déjeuner très copieux dans une salle de restauration très agréable, bruit feutré.  De plus, possibilité de stationner dans le parking en sous sol de l'hôtel. Bref de quoi passer un excellent séjour dans cet hôtel.  Nous y reviendrons avec grand plaisir!",1,5
